Date,AirPort,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees
2011-09-21,ATL,30,26,21,19,19,18,90,71,51,1019,1018,1016,16,12,1,21,8,26.0,T,7,Rain,128
2011-09-22,ATL,27,24,21,21,20,18,93,80,67,1021,1019,1017,16,13,3,16,9,27.0,12.45,7,Rain,126
2011-09-23,ATL,28,23,17,20,17,15,93,72,51,1019,1016,1014,16,13,3,37,11,42.0,20.57,6,Rain-Thunderstorm,314
2011-09-24,ATL,28,22,15,14,10,1,87,53,18,1016,1015,1013,16,16,16,23,9,27.0,0.00,1,,317
2011-09-25,ATL,31,24,16,19,14,9,79,58,37,1016,1014,1011,16,16,16,21,9,32.0,0.00,2,,136
2011-09-26,ATL,30,26,21,20,18,13,90,64,37,1015,1013,1011,16,16,11,29,14,39.0,0.25,5,Rain,189
2011-09-27,ATL,29,24,20,19,18,14,90,68,46,1014,1012,1011,16,13,5,34,12,42.0,T,4,,285
2011-09-28,ATL,26,22,18,19,18,17,93,77,60,1014,1012,1010,16,16,14,19,9,24.0,0.00,6,,257
2011-09-29,ATL,29,23,17,18,14,12,93,65,37,1014,1012,1010,16,16,13,24,11,27.0,0.00,2,,285
2011-09-30,ATL,26,20,14,14,9,4,78,53,27,1014,1011,1010,16,16,16,37,21,47.0,0.00,1,,306
2011-10-01,ATL,18,14,10,7,3,-2,80,53,26,1019,1016,1013,16,16,16,39,22,52.0,0.00,0,,333
2011-10-02,ATL,20,14,8,4,2,-2,76,51,26,1020,1019,1018,16,16,16,32,16,39.0,0.00,0,,329
2011-10-03,ATL,24,16,7,3,1,-4,71,44,16,1023,1021,1020,16,16,16,27,13,35.0,0.00,0,,321
2011-10-04,ATL,27,18,10,8,5,2,66,46,26,1025,1023,1022,16,16,16,19,8,42.0,0.00,0,,339
2011-10-05,ATL,28,21,13,9,8,7,72,49,26,1025,1023,1021,16,16,16,16,5,37.0,0.00,0,,61
2011-10-06,ATL,27,21,13,11,9,8,77,54,30,1026,1024,1022,16,16,16,26,14,37.0,0.00,2,,85
2011-10-07,ATL,26,21,14,11,9,6,77,53,28,1028,1027,1025,16,16,16,29,18,47.0,0.00,0,,85
2011-10-08,ATL,26,20,14,11,9,8,67,50,33,1029,1027,1025,16,16,16,39,22,48.0,0.00,3,,82
2011-10-09,ATL,22,19,16,12,10,6,67,56,44,1026,1024,1021,16,16,16,37,26,45.0,0.00,8,,70
2011-10-10,ATL,20,19,17,16,15,13,90,77,63,1021,1018,1015,16,13,4,45,31,58.0,3.05,8,Rain,61
2011-10-11,ATL,18,17,16,16,14,13,93,89,84,1015,1013,1012,16,11,4,42,26,52.0,5.08,8,Rain,65
2011-10-12,ATL,23,19,15,16,14,13,87,77,66,1012,1010,1008,16,15,5,26,9,34.0,T,8,,60
2011-10-13,ATL,23,19,15,16,14,12,93,71,49,1009,1006,1004,16,13,2,29,12,42.0,10.16,7,Rain-Thunderstorm,236
2011-10-14,ATL,25,19,13,13,8,4,93,60,27,1014,1011,1007,16,16,16,35,16,45.0,0.00,0,,278
2011-10-15,ATL,27,20,13,8,6,4,66,47,27,1020,1017,1014,16,16,16,32,15,40.0,0.00,0,,287
2011-10-16,ATL,29,19,10,9,6,3,74,49,23,1022,1019,1017,16,16,16,19,7,26.0,0.00,0,,281
2011-10-17,ATL,29,22,14,11,9,8,67,48,28,1017,1014,1011,16,16,16,23,7,27.0,0.00,0,,238
2011-10-18,ATL,27,21,14,19,16,9,93,68,42,1011,1006,1001,16,13,2,24,9,34.0,9.40,5,Rain,143
2011-10-19,ATL,19,14,8,18,10,3,93,77,61,1008,1001,997,16,13,0,39,22,48.0,7.87,8,Rain,280
2011-10-20,ATL,15,11,7,5,3,1,89,66,43,1018,1012,1008,16,16,16,35,18,42.0,0.00,5,,276
2011-10-21,ATL,17,11,4,3,2,0,85,59,32,1021,1020,1018,16,16,16,29,13,40.0,0.00,0,,294
2011-10-22,ATL,20,13,5,4,3,2,82,58,34,1022,1020,1019,16,16,16,16,9,23.0,0.00,0,,320
2011-10-23,ATL,21,14,7,7,5,4,83,58,33,1021,1019,1018,16,16,16,14,3,21.0,0.00,3,,168
2011-10-24,ATL,23,18,13,11,8,7,83,59,35,1022,1021,1019,16,16,14,24,10,32.0,0.76,3,Rain,324
2011-10-25,ATL,24,18,11,9,7,5,77,53,29,1025,1022,1021,16,16,16,21,8,29.0,0.00,0,,149
2011-10-26,ATL,25,18,11,8,7,4,77,52,27,1021,1018,1015,16,16,16,26,8,35.0,0.00,1,,228
2011-10-27,ATL,26,19,12,13,11,9,83,60,36,1015,1013,1011,16,16,16,27,11,40.0,0.00,2,,251
2011-10-28,ATL,23,17,10,14,11,9,89,68,46,1015,1013,1012,16,15,3,23,11,29.0,6.60,6,Rain,330
2011-10-29,ATL,15,11,6,8,2,-3,92,62,31,1022,1018,1014,16,15,6,37,22,50.0,0.25,3,Rain,340
2011-10-30,ATL,16,10,4,1,-2,-4,70,48,25,1026,1024,1022,16,16,16,23,9,42.0,0.00,3,,104
2011-10-31,ATL,18,11,4,2,0,-2,76,51,26,1024,1023,1021,16,16,16,16,7,24.0,0.00,1,,56
2011-11-01,ATL,20,13,6,4,1,-2,70,47,24,1027,1025,1023,16,16,16,27,6,50.0,0.00,1,,80
2011-11-02,ATL,20,13,6,3,2,-1,76,51,26,1029,1026,1024,16,16,16,24,11,29.0,0.00,0,,104
2011-11-03,ATL,22,14,7,14,8,3,90,68,45,1024,1015,1010,16,13,2,40,16,58.0,14.48,5,Rain,227
2011-11-04,ATL,17,12,7,6,4,2,83,66,48,1020,1015,1012,16,16,16,40,24,58.0,0.00,3,,325
2011-11-05,ATL,16,11,6,6,1,-4,86,56,25,1027,1024,1020,16,16,13,37,18,56.0,0.00,0,,66
2011-11-06,ATL,19,13,6,8,4,0,77,61,45,1030,1028,1027,16,16,16,29,17,39.0,0.00,3,,81
2011-11-07,ATL,22,16,8,9,8,7,86,64,41,1029,1027,1024,16,16,16,19,9,26.0,0.00,2,,94
2011-11-08,ATL,22,16,9,11,9,7,83,65,47,1025,1023,1021,16,16,16,19,10,24.0,0.00,3,,104
2011-11-09,ATL,22,17,11,14,11,8,83,68,53,1021,1018,1015,16,15,5,24,9,31.0,1.27,6,Rain,184
2011-11-10,ATL,15,11,6,13,2,-8,87,58,28,1020,1016,1015,16,16,13,40,25,58.0,T,5,Rain,319
2011-11-11,ATL,14,7,0,-3,-8,-12,59,37,15,1024,1022,1020,16,16,16,26,10,35.0,0.00,0,,300
2011-11-12,ATL,18,9,1,-1,-3,-4,75,50,25,1027,1025,1023,16,16,16,19,6,26.0,0.00,4,,205
2011-11-13,ATL,22,15,8,9,3,-5,67,52,36,1025,1022,1019,16,16,16,29,11,40.0,0.00,5,,182
2011-11-14,ATL,26,19,12,14,11,8,77,59,40,1021,1018,1016,16,16,16,32,12,45.0,T,6,,189
2011-11-15,ATL,24,20,15,18,16,13,93,76,58,1017,1015,1013,16,12,2,32,8,39.0,4.06,7,Rain,212
2011-11-16,ATL,24,19,14,19,17,11,93,83,73,1014,1011,1008,16,13,3,35,16,50.0,9.40,7,Rain-Thunderstorm,217
2011-11-17,ATL,14,9,4,11,1,-8,86,58,29,1027,1020,1012,16,16,16,37,24,50.0,T,3,Rain,328
2011-11-18,ATL,12,6,0,-6,-7,-8,63,45,26,1032,1029,1027,16,16,16,29,15,37.0,0.00,1,,91
2011-11-19,ATL,17,12,6,7,0,-7,62,50,37,1030,1027,1025,16,16,16,26,15,47.0,0.00,7,,100
2011-11-20,ATL,21,16,10,16,11,4,96,78,59,1028,1026,1025,16,11,2,16,8,19.0,3.05,7,Rain,102
2011-11-21,ATL,25,21,16,17,16,14,97,76,54,1026,1024,1021,16,9,0,21,7,27.0,0.00,6,Fog,226
2011-11-22,ATL,25,20,14,17,15,13,93,73,53,1021,1017,1014,16,14,2,37,13,48.0,13.46,6,Rain-Thunderstorm,203
2011-11-23,ATL,17,13,8,16,9,4,93,74,55,1023,1018,1014,16,16,16,42,22,53.0,0.00,4,,308
2011-11-24,ATL,19,12,3,4,1,-2,92,58,24,1028,1027,1023,16,16,16,14,6,19.0,0.00,0,,16
2011-11-25,ATL,20,12,4,4,1,-2,70,49,27,1029,1027,1024,16,16,16,19,6,24.0,0.00,1,,132
2011-11-26,ATL,21,16,10,11,9,4,83,65,47,1026,1023,1020,16,16,16,27,11,35.0,0.00,7,,128
2011-11-27,ATL,23,19,15,12,11,9,80,62,44,1020,1015,1010,16,16,14,42,21,56.0,T,7,Rain,152
2011-11-28,ATL,18,12,4,16,8,1,93,78,63,1011,1009,1006,16,12,1,39,20,56.0,17.27,8,Rain,200
2011-11-29,ATL,4,3,2,2,1,-1,85,78,70,1016,1012,1010,16,15,11,29,16,37.0,0.25,8,Rain,239
2011-11-30,ATL,9,5,1,1,-1,-3,85,69,53,1022,1019,1016,16,16,16,32,17,39.0,0.00,5,,308
2011-12-01,ATL,16,7,-2,1,-2,-3,85,59,33,1028,1026,1022,16,16,16,19,7,24.0,0.00,0,,54
2011-12-02,ATL,18,9,1,2,-1,-4,82,53,23,1031,1030,1028,16,16,16,16,5,23.0,0.00,1,,301
2011-12-03,ATL,17,10,3,1,-1,-3,70,49,27,1033,1031,1030,16,16,16,24,12,37.0,0.00,3,,98
2011-12-04,ATL,17,12,6,8,4,-1,71,61,51,1030,1028,1025,16,16,16,26,15,29.0,T,6,,93
2011-12-05,ATL,22,16,11,12,11,7,83,68,53,1024,1021,1018,16,16,16,29,14,39.0,0.00,7,,136
2011-12-06,ATL,21,18,14,17,16,13,93,80,67,1018,1016,1014,16,10,2,27,15,34.0,12.95,8,Rain,205
2011-12-07,ATL,14,9,3,12,7,-3,100,82,64,1023,1013,1011,16,7,2,45,21,60.0,7.11,8,Rain,285
2011-12-08,ATL,12,6,0,-2,-4,-6,75,52,28,1026,1024,1022,16,16,16,35,10,47.0,0.00,4,,16
2011-12-09,ATL,13,8,2,1,-1,-3,76,56,35,1026,1025,1023,16,16,16,16,6,21.0,0.00,6,,355
2011-12-10,ATL,12,7,1,0,-2,-4,70,53,35,1030,1028,1025,16,16,16,27,16,35.0,0.00,2,,331
2011-12-11,ATL,11,6,0,0,-4,-6,75,54,33,1033,1031,1029,16,16,14,34,20,39.0,0.25,4,Rain,72
2011-12-12,ATL,10,8,6,2,-1,-4,62,56,49,1032,1031,1029,16,16,16,32,18,40.0,0.00,8,,72
2011-12-13,ATL,20,13,6,7,4,1,77,61,45,1032,1030,1029,16,16,16,14,4,21.0,0.00,3,,73
2011-12-14,ATL,21,14,8,9,7,6,86,62,37,1029,1027,1024,16,16,14,19,7,26.0,0.00,4,,180
2011-12-15,ATL,22,16,9,12,10,7,86,68,49,1025,1023,1021,16,16,16,27,11,39.0,0.00,5,,198
2011-12-16,ATL,22,16,9,14,11,8,84,67,49,1023,1021,1019,16,16,14,34,15,42.0,T,5,Rain,249
2011-12-17,ATL,12,8,3,8,1,-6,93,61,28,1026,1024,1022,16,16,16,35,20,45.0,0.00,3,,316
2011-12-18,ATL,13,7,1,-2,-4,-5,70,49,27,1029,1027,1026,16,16,16,23,11,32.0,0.00,1,,315
2011-12-19,ATL,16,8,1,7,0,-4,77,55,32,1028,1025,1023,16,16,16,16,6,23.0,0.00,4,,122
2011-12-20,ATL,15,12,8,13,11,6,93,82,71,1022,1021,1019,16,12,3,21,10,26.0,7.11,8,Rain,127
2011-12-21,ATL,19,17,14,17,16,13,100,95,90,1019,1015,1014,16,6,0,32,13,40.0,13.72,8,Fog-Rain-Thunderstorm,178
2011-12-22,ATL,20,16,12,18,16,10,100,94,87,1018,1015,1012,16,8,0,42,14,56.0,25.65,8,Fog-Rain-Thunderstorm,187
2011-12-23,ATL,14,10,6,9,6,3,86,71,55,1026,1022,1017,16,16,16,39,20,48.0,0.00,6,,320
2011-12-24,ATL,14,9,4,5,3,2,85,68,51,1030,1028,1026,16,15,10,27,12,34.0,0.00,5,,18
2011-12-25,ATL,10,8,6,8,7,4,93,85,76,1029,1027,1025,16,9,2,26,9,34.0,12.95,7,Rain,331
2011-12-26,ATL,12,7,3,4,1,-2,96,69,41,1027,1024,1019,16,15,10,26,13,37.0,1.78,6,Rain,84
2011-12-27,ATL,11,8,4,8,4,1,96,81,65,1018,1012,1009,16,11,1,40,21,58.0,30.99,7,Rain,214
2011-12-28,ATL,12,7,2,2,-2,-4,85,60,35,1021,1019,1016,16,16,16,34,12,47.0,0.00,2,,300
2011-12-29,ATL,14,7,-1,1,-1,-3,82,59,36,1020,1018,1016,16,16,16,23,7,29.0,0.00,2,,241
2011-12-30,ATL,18,11,4,9,6,0,89,71,52,1019,1017,1014,16,15,6,32,10,45.0,T,5,,210
2011-12-31,ATL,19,13,7,9,3,-1,89,58,26,1022,1019,1014,16,16,16,19,9,24.0,0.00,1,,261
2011-09-01,ORD,34,28,22,23,22,19,84,70,56,1015,1013,1011,16,15,11,26,9,37.0,0.00,1,,197
2011-09-02,ORD,33,29,24,22,21,19,79,64,49,1013,1012,1011,16,15,11,27,12,37.0,0.00,4,,215
2011-09-03,ORD,32,26,21,22,20,18,93,70,46,1013,1012,1011,16,15,8,32,10,39.0,0.51,6,Rain-Thunderstorm,270
2011-09-04,ORD,23,19,14,19,13,9,93,70,47,1017,1013,1010,16,16,16,35,19,45.0,0.00,5,,312
2011-09-05,ORD,18,15,11,10,7,6,77,64,51,1021,1020,1017,16,16,16,42,24,56.0,0.00,3,,5
2011-09-06,ORD,19,15,11,9,7,6,72,60,48,1023,1022,1020,16,16,16,32,16,47.0,0.00,3,,24
2011-09-07,ORD,21,16,11,10,8,5,89,63,36,1022,1021,1020,16,16,16,37,17,48.0,0.00,3,,7
2011-09-08,ORD,24,19,14,14,12,9,80,62,44,1020,1018,1016,16,16,16,40,20,53.0,T,6,Rain,15
2011-09-09,ORD,22,19,16,17,16,13,100,84,68,1015,1014,1014,16,16,5,24,13,40.0,0.51,7,Rain,42
2011-09-10,ORD,26,19,13,18,16,13,100,77,54,1017,1016,1014,16,14,3,14,5,23.0,0.00,3,,150
2011-09-11,ORD,28,21,14,16,15,13,93,68,43,1017,1016,1014,16,14,6,23,9,32.0,0.00,2,,263
2011-09-12,ORD,30,24,18,17,15,14,84,62,40,1016,1013,1009,16,16,11,35,18,45.0,0.00,3,,235
2011-09-13,ORD,23,18,13,15,12,8,86,62,38,1015,1012,1008,16,13,8,32,14,37.0,0.00,0,,315
2011-09-14,ORD,14,12,8,12,6,-1,96,68,40,1023,1019,1015,16,13,8,26,12,40.0,2.03,4,Rain,330
2011-09-15,ORD,15,11,6,4,1,0,71,55,39,1029,1027,1023,16,16,16,32,14,45.0,0.00,3,,9
2011-09-16,ORD,14,11,8,7,4,3,77,64,51,1029,1028,1025,16,16,16,21,5,27.0,0.00,8,,72
2011-09-17,ORD,20,15,10,11,7,5,77,59,40,1027,1025,1023,16,16,16,34,14,45.0,0.00,4,,111
2011-09-18,ORD,18,16,13,17,13,7,100,78,55,1024,1019,1013,16,11,3,24,15,32.0,10.92,8,Rain,143
2011-09-19,ORD,21,17,12,18,15,12,100,82,63,1017,1014,1012,16,12,5,21,9,29.0,6.10,6,Rain,279
2011-09-20,ORD,23,17,9,14,12,9,100,71,41,1018,1016,1013,16,14,8,26,12,29.0,0.00,4,Fog,183
2011-09-21,ORD,22,18,13,13,10,8,84,65,45,1016,1014,1012,16,16,16,37,18,48.0,T,4,Rain,250
2011-09-22,ORD,18,14,11,10,8,7,89,71,52,1020,1019,1016,16,16,16,23,11,32.0,0.00,6,,263
2011-09-23,ORD,17,13,9,8,7,5,86,68,49,1020,1018,1016,16,16,16,21,11,40.0,0.00,5,,355
2011-09-24,ORD,17,14,11,10,9,7,89,77,64,1017,1015,1014,16,16,8,24,7,32.0,3.56,7,Rain,22
2011-09-25,ORD,18,14,11,13,12,10,100,86,72,1015,1012,1009,16,15,11,24,9,26.0,2.03,7,Rain,130
2011-09-26,ORD,16,14,12,13,11,7,100,83,66,1009,1003,999,16,12,5,40,25,50.0,30.73,8,Rain,210
2011-09-27,ORD,17,15,12,12,12,11,93,87,80,1008,1006,1004,16,14,8,29,13,37.0,7.87,8,Rain,50
2011-09-28,ORD,17,14,12,13,12,11,100,90,80,1009,1008,1007,16,13,4,24,11,40.0,19.56,7,Rain,325
2011-09-29,ORD,19,14,9,13,11,6,100,82,63,1009,1006,1003,16,14,8,53,22,74.0,1.52,6,Rain,268
2011-09-30,ORD,14,11,7,7,5,3,80,68,55,1022,1015,1006,16,15,5,48,24,61.0,2.29,6,Rain,341
2011-10-01,ORD,13,9,6,6,4,2,92,74,55,1026,1025,1022,16,16,16,34,17,47.0,T,4,,1
2011-10-02,ORD,19,12,5,6,4,-1,92,60,28,1026,1024,1021,16,16,16,19,9,32.0,0.00,1,,322
2011-10-03,ORD,21,14,7,10,7,4,83,61,39,1024,1023,1021,16,16,16,23,8,45.0,0.00,1,,13
2011-10-04,ORD,24,16,6,10,8,6,93,64,35,1027,1025,1023,16,16,16,13,4,19.0,0.00,1,,167
2011-10-05,ORD,27,18,9,11,9,7,93,63,32,1025,1023,1022,16,16,13,19,5,26.0,0.00,0,,178
2011-10-06,ORD,27,19,10,12,11,9,83,61,39,1025,1024,1023,16,16,16,23,7,26.0,0.00,0,,146
2011-10-07,ORD,29,21,12,13,12,10,83,60,37,1027,1024,1023,16,16,16,29,12,37.0,0.00,3,,171
2011-10-08,ORD,28,20,12,14,12,11,93,67,40,1027,1025,1024,16,16,16,26,12,35.0,0.00,1,,186
2011-10-09,ORD,27,19,11,12,10,9,83,58,33,1028,1026,1024,16,16,16,23,6,29.0,0.00,1,,93
2011-10-10,ORD,24,18,12,12,11,9,93,66,38,1023,1021,1017,16,16,13,24,10,29.0,0.00,4,,153
2011-10-11,ORD,26,20,14,13,12,11,80,63,45,1017,1015,1012,16,16,16,24,8,27.0,0.00,5,,144
2011-10-12,ORD,26,19,13,12,11,9,77,59,40,1012,1008,1004,16,16,16,26,13,35.0,0.00,4,,139
2011-10-13,ORD,19,15,11,15,13,8,90,74,58,1003,1000,998,16,13,5,29,11,42.0,7.11,7,Rain,247
2011-10-14,ORD,17,13,9,7,4,2,80,62,43,1005,1002,1000,16,16,16,45,25,60.0,0.00,3,,280
2011-10-15,ORD,17,13,8,4,2,1,71,53,34,1012,1009,1005,16,16,16,47,25,61.0,0.00,2,,269
2011-10-16,ORD,17,13,9,8,4,1,80,60,39,1011,1009,1008,16,16,11,39,14,48.0,4.32,5,Rain,269
2011-10-17,ORD,15,10,5,2,0,-2,70,52,33,1012,1011,1009,16,16,16,34,17,45.0,0.00,4,,259
2011-10-18,ORD,12,9,5,8,3,0,80,66,52,1011,1010,1009,16,15,6,29,14,42.0,1.52,8,Rain,356
2011-10-19,ORD,9,8,7,6,5,3,89,80,71,1009,1005,1000,16,15,8,47,29,63.0,21.59,8,Rain,5
2011-10-20,ORD,8,7,6,4,3,2,83,74,65,1012,1004,999,16,16,16,47,26,69.0,2.03,8,Rain,321
2011-10-21,ORD,13,8,3,2,1,0,85,64,43,1019,1017,1013,16,16,16,21,9,35.0,0.00,1,,288
2011-10-22,ORD,19,10,1,6,2,-1,82,60,37,1019,1017,1015,16,16,16,21,6,26.0,0.00,3,,238
2011-10-23,ORD,20,12,3,11,6,2,86,61,35,1016,1013,1010,16,15,4,39,11,52.0,5.08,4,Rain-Thunderstorm,237
2011-10-24,ORD,17,12,7,11,4,1,89,63,36,1020,1017,1011,16,16,16,26,12,34.0,0.00,2,Rain,266
2011-10-25,ORD,23,16,7,11,7,2,86,61,35,1019,1012,1006,16,16,13,40,19,53.0,0.51,7,Rain-Thunderstorm,191
2011-10-26,ORD,12,10,8,11,6,3,89,80,71,1015,1012,1008,16,16,13,29,20,40.0,0.00,8,,1
2011-10-27,ORD,12,8,4,4,3,2,89,72,54,1021,1017,1014,16,15,6,32,9,40.0,3.05,7,Rain,359
2011-10-28,ORD,13,7,2,3,1,-3,92,64,35,1023,1020,1017,16,16,14,24,9,32.0,0.76,6,,221
2011-10-29,ORD,13,7,1,2,-1,-4,82,57,32,1020,1018,1016,16,16,16,26,8,34.0,0.00,2,,276
2011-10-30,ORD,14,7,1,7,2,-3,93,68,43,1020,1017,1014,16,15,10,52,18,69.0,4.32,6,Rain,184
2011-10-31,ORD,12,7,2,5,2,1,92,71,50,1021,1017,1015,16,15,8,21,8,24.0,0.00,4,,252
2011-11-01,ORD,18,10,2,7,3,0,92,68,43,1021,1019,1016,16,16,13,29,17,40.0,0.00,1,,177
2011-11-02,ORD,18,14,9,8,5,2,77,61,44,1018,1016,1014,16,16,16,40,19,48.0,0.25,7,Rain,202
2011-11-03,ORD,9,8,8,6,5,3,86,76,66,1022,1018,1015,16,16,14,50,29,63.0,2.03,7,Rain,35
2011-11-04,ORD,12,7,2,4,2,1,85,68,50,1028,1025,1022,16,16,16,21,10,35.0,0.00,4,,60
2011-11-05,ORD,14,8,1,2,0,-3,85,64,43,1025,1022,1018,16,16,16,27,16,37.0,0.00,3,,162
2011-11-06,ORD,15,10,5,8,6,-1,77,69,60,1019,1017,1016,16,16,16,42,26,60.0,0.00,7,,192
2011-11-07,ORD,14,13,11,9,8,6,83,72,61,1024,1022,1020,16,15,8,24,6,32.0,1.02,8,Rain,127
2011-11-08,ORD,11,9,8,9,8,6,93,87,80,1020,1016,1012,16,8,2,37,16,45.0,38.86,8,Rain,35
2011-11-09,ORD,17,10,3,13,6,-1,100,84,67,1015,1005,999,16,12,0,48,23,64.0,9.91,7,Rain,259
2011-11-10,ORD,5,3,0,1,-2,-3,82,73,64,1017,1015,1014,16,14,2,35,17,45.0,0.25,5,Rain-Snow,274
2011-11-11,ORD,7,3,-1,-1,-2,-4,85,67,49,1017,1013,1007,16,16,16,29,14,35.0,0.00,3,,213
2011-11-12,ORD,16,9,2,8,3,-1,82,63,44,1009,1007,1001,16,16,16,48,21,64.0,0.00,5,,207
2011-11-13,ORD,21,15,8,11,7,-1,77,53,28,1003,998,992,16,16,16,60,32,76.0,0.00,5,,215
2011-11-14,ORD,12,7,2,6,3,0,86,72,58,1007,1004,1001,16,16,16,14,6,21.0,0.25,6,,212
2011-11-15,ORD,18,9,1,4,2,-2,92,63,34,1011,1008,1005,16,16,11,37,13,48.0,0.00,2,,230
2011-11-16,ORD,8,4,-1,-3,-9,-13,61,43,24,1022,1017,1011,16,16,16,35,19,48.0,0.00,4,,292
2011-11-17,ORD,2,-1,-4,-8,-10,-12,68,52,35,1024,1022,1020,16,16,16,39,17,50.0,0.00,1,,253
2011-11-18,ORD,11,3,-4,-6,-7,-10,63,46,28,1023,1016,1012,16,16,16,56,30,72.0,0.00,3,,197
2011-11-19,ORD,14,11,7,10,3,-6,77,57,36,1013,1009,1006,16,16,16,48,27,63.0,T,7,Rain,202
2011-11-20,ORD,13,8,4,6,1,-1,79,72,65,1027,1023,1012,16,16,16,40,19,52.0,0.00,8,,8
2011-11-21,ORD,8,7,5,3,2,0,82,74,65,1027,1025,1022,16,16,16,24,15,48.0,0.00,7,,63
2011-11-22,ORD,6,6,4,4,3,2,92,84,76,1023,1016,1011,16,11,5,29,18,52.0,6.10,8,Rain,44
2011-11-23,ORD,10,6,1,3,1,-1,96,75,53,1024,1022,1017,16,12,8,26,10,34.0,0.00,2,Fog,265
2011-11-24,ORD,8,7,4,6,4,3,93,88,82,1024,1021,1017,13,9,5,34,22,45.0,0.00,7,,214
2011-11-25,ORD,14,10,6,8,5,2,83,72,61,1017,1014,1011,16,15,11,39,27,52.0,0.00,5,,207
2011-11-26,ORD,13,11,7,12,10,6,96,81,66,1012,1009,1007,16,9,3,37,18,48.0,25.65,8,Rain,240
2011-11-27,ORD,8,5,2,6,1,-3,92,81,70,1021,1015,1009,16,15,8,35,19,40.0,3.05,8,Rain,334
2011-11-28,ORD,5,3,1,0,-2,-3,76,73,70,1022,1019,1014,16,16,13,27,17,39.0,T,7,Snow,4
2011-11-29,ORD,7,3,-1,2,-2,-7,82,68,54,1016,1014,1012,16,16,16,58,34,74.0,0.00,7,,6
2011-11-30,ORD,7,2,-4,-6,-8,-12,75,50,25,1022,1019,1015,16,16,16,26,12,34.0,0.00,3,,268
2011-12-01,ORD,9,3,-4,0,-3,-6,89,64,39,1026,1024,1022,16,15,8,27,11,37.0,T,7,Rain-Snow,251
2011-12-02,ORD,6,3,-1,0,-1,-3,96,77,57,1032,1029,1026,16,14,6,26,11,32.0,0.51,5,Snow,291
