taxon	nb_pict_valid
|Les Longicornes à bandes <Leptura et autres>|	6
|La Mutille européenne (mâle) <Mutilla europaea>|	6
|Les Azurés des fourmis <Maculinea>|	6
|L'Azuré du Thym (femelle) <Pseudophilotes baton>|	6
|L'Argus de la Sanguinaire <Eumedonia eumedon>|	6
|Le Clyte poilu <Chlorophorus pilosus>|	5
|La Brocatelle d'or <Camptogramma bilineata>|	5
|La Lepture couleur d'or (à antennes jaunes) <Leptura aurulenta>|	5
|Les Anthracines Exoprosopa <Exoprosopa>|	5
|Le Stratiome terne <Stratiomys longicornis>|	5
|La Lepture couleur d'or (à antennes noires) <Leptura aurulenta>|	5
|Les Moirés à dessous sombre <Erebia>|	5
|La Zygène de l'Esparcette <Zygaena rhadamanthus>|	5
|Les Araignées crabes Thanatus <Thanatus>|	5
|Le Dascillide <Dascillus cervinus>|	5
|L'Andrène marginée <Andrena marginata>|	5
|La Méticuleuse <Phlogophora meticulosa>|	5
|Les Tenebrions marrons <Isomira et autres>|	5
|Le Thécla du Prunier <Satyrium pruni>|	4
|Le Chlorophore soufré <Chlorophorus ruficornis>|	4
|Les Purpuricènes <Purpuricenus>|	4
|L'Anthracine maura <Hemipenthes maura>|	4
|Les petits clavicornes <Cucujidae, Cryptophagidae et autres>|	4
|Les Collètes de printemps <Colletes cunicularius et autres>|	4
|La Baccha allongée <Baccha elongata>|	4
|Les Scutellerides <Scutelleridae>|	4
|Les Malachides sombres <Clanoptilus>|	4
|Le Byturide aux petits yeux <Byturus tomentosus>|	4
|Le Clyte mystique <Anaglyptus mysticus>|	4
|La Doublure jaune <Euclidia glyphica>|	4
|Le Capricorne Callimus <Callimus angulatus>|	4
|L'Hespérie Echiquier <Carterocephalus palaemon>|	4
|La Lygée familière <Tropidothorax leucopterus>|	4
|Les Téléphores fauves à thorax noir <Rhagonycha>|	4
|La Timandre aimée <Timandra comae>|	3
|La Divisée <Siona lineata>|	3
|La Milésie bourdon <Temnostoma bombylans>|	3
|L'Abia fasciata <Abia fasciata>|	3
|L'Aurore de Provence (mâle) <Anthocharis euphenoides>|	3
|Les Labidostomes <Labidostomis>|	3
|Les Fadets à bande blanche <Coenonympha>|	3
|L'Ecaille du Myosotis <Utetheisa pulchella>|	3
|La Citronnelle rouillée <Opisthograptis luteolata>|	3
|Le Morio <Nymphalis antiopa>|	3
|La Proserpine <Zerynthia rumina>|	3
|Le Semi-Apollon <Parnassius mnemosyne>|	3
|Les Mutilles (autres mâles) <Mutillidae>|	3
|Les Cétoines métalliques unies <Protaetia>|	2
|Le Byturide aux gros yeux <Byturus ochraceus>|	2
|Le M noir <Euclidia mi>|	2
|Les Conophores <Conophorus>|	2
|Le Bombyle Eclimus <Eclimus gracilis>|	2
|Le Thécla du Frêne <Laeosopis roboris>|	2
|Le Syrphe Leucozona <Leucozona glaucia>|	2
|Les Agapanthies violacées <Agapanthia>|	2
|Le Coptosoma <Coptosoma scutellatum>|	2
|La Scolie sans taches jaunes <Colpa quinquecincta>|	2
|Le Hibou <Noctua pronuba>|	2
|Les Moirés à dessous marbré <Erebia>|	2
|Les Agrestes (Corse) <Hipparchia et autres>|	2
|Les Chrysomèles allongées des milieux humides <Donacia, Plateumaris>|	2
|L'Azuré de l'Orobe <Polyommatus daphnis>|	2
|Le Damier noir <Melitaea diamina>|	2
|Les Mutilles (femelles) <Mutillidae>|	2
|Le Taon des pluies <Haematopota pluvialis>|	2
|Les Alucitides <Alucitidae>|	2
|Les Triongulins <Meloe>|	2
|Le Céphide à abdomen orange <Calameuta pygmaea>|	2
|L'Andrène noire <Andrena morio>|	2
|Les Noctuelles à museau <Hypena et autres>|	2
|Les Usies <Usia>|	1
|L'Angéronie du Prunier <Angerona prunaria>|	1
|Le Bupreste à taches jaunes <Ptosima undecimmaculata>|	1
|Le Chevron blanc <Hipparchia fidia>|	1
|L'Abeille coucou Epeloides (femelle) <Epeoloides coecutiens>|	1
|La Frangée <Noctua fimbriata>|	1
|Le Myrmus <Myrmus miriformis>|	1
|La Pyrale du Houblon <Pleuroptya ruralis>|	1
|L'Intruse, l'Illégitime et la Bréphine <Boudinotiana et autres>|	1
|Le Dermeste à points blancs <Attagenus punctatus>|	1
|Les Asilides velues <Laphria>|	1
|Le Moiré variable <Erebia manto>|	1
|Les Rayures <Aplocera>|	1
|Le Stratiome singularior <Stratiomys singularior>|	1
|L'Acméodère de la Piloselle <Acmaeodera pilosellae>|	1
|La Rhagie à 2 bandes <Rhagium bifasciatum>|	1
|L'Ecaille marbrée <Callimorpha dominula>|	1
|Le Sphinx du Liseron <Agrius convolvuli>|	1
|L'Acidalie double-ceinture <Idaea aureolaria>|	1
|L'Echiquier de Russie <Melanargia russiae>|	1
|La Scolie Colpa (femelle) <Colpa sexmaculata>|	1
|Le Petit Sphinx de la Vigne <Deilephila porcellus>|	1
|Le Gnorimus sombre <Gnorimus variabilis>|	1
|Le Cyrtus <Cyrtus gibbus>|	1
|L'Anthaxie nitidula (femelle) <Anthaxia nitidula>|	1
